업종명,업소명,영업소 주소(도로명),소재지전화
숙박업(일반),한길여인숙,부산광역시 동구 초량중로80번길 3 (초량동), 051- 464-2372
숙박업(일반),진주여인숙,부산광역시 동구 중앙대로229번길 10-2 (초량동), 051- 467-0977
숙박업(일반),경남여인숙,부산광역시 동구 수정로 10 (수정동), 051- 468-7329
숙박업(일반),본역여인숙,부산광역시 동구 대영로243번길 52 (초량동),
숙박업(일반),낙원여인숙,부산광역시 동구 부산진성공원로 1-3 (범일동), 051- 646-0929
숙박업(일반),삼오여관,부산광역시 동구 범일일길 13-1 (범일동),
숙박업(일반),초량솔로몬 리빙텔,부산광역시 동구 고관로33번길 9 (수정동),
숙박업(일반),Inn부산,부산광역시 동구 대영로239번길 45 (초량동), 051- 467-4875
숙박업(일반),황금여인숙,부산광역시 동구 초량로13번길 60 (초량동), 051- 467-8751
숙박업(일반),물레,부산광역시 동구 대영로243번길 10 (초량동), 051- 468-5994
숙박업(일반),거창,부산광역시 동구 대영로247번길 13-1 (초량동), 051- 467-0087
숙박업(일반),부산역비즈니스호텔,부산광역시 동구 중앙대로180번길 12-9 (초량동), 051- 463-5581
숙박업(일반),서울모텔,부산광역시 동구 중앙대로209번길 10-17 (초량동), 051- 468-1980
숙박업(일반),장안여관,부산광역시 동구 중앙대로260번길 3-9 (초량동), 051- 463-5736
숙박업(일반),영모텔,부산광역시 동구 중앙대로 477-13 (범일동), 051- 633-7879
숙박업(일반),3.6.9 모텔,부산광역시 동구 중앙대로214번길 3-8 (초량동), 051- 463-5992
숙박업(일반),로얄여관,부산광역시 동구 초량중로 66-1 (초량동), 051- 469-0688
숙박업(일반),산동여관,부산광역시 동구 초량중로 58-16 (초량동), 051- 467-3446
숙박업(일반),구봉장,부산광역시 동구 대영로243번길 72-2 (초량동), 051- 442-6416
숙박업(일반),수정장여관,부산광역시 동구 초량상로157번길 34 (수정동), 051- 467-2313
숙박업(일반),미래장,부산광역시 동구 중앙대로195번길 6 (초량동),051 -442 -6206
숙박업(일반),동명여인숙,부산광역시 동구 중앙대로389번길 8 (수정동),
숙박업(일반),동원여관,부산광역시 동구 중동길 55 (초량동), 051- 467-1845
숙박업(일반),스마일 모텔,부산광역시 동구 초량로13번길 54 (초량동),
숙박업(일반),신유아트빌모텔,부산광역시 동구 범일로 103-5 (범일동), 051- 635-2276
숙박업(일반),힐코여관,부산광역시 동구 초량로14번길 12 (초량동), 051- 442-2255
숙박업(일반),잭팟,"부산광역시 동구 자성로111번길 8-3 (범일동,829-45)", 051- 646-0221
숙박업(일반),필모텔,부산광역시 동구 초량중로 68 (초량동), 051- 468-3134
숙박업(일반),세종장여관,부산광역시 동구 중앙대로248번길 3-9 (초량동), 051- 469-4747
숙박업(일반),부산역센텀호텔,부산광역시 동구 중앙대로236번길 7-9 (초량동), 051- 463-4351
숙박업(일반),부산에어비앤비 써클스테이,부산광역시 동구 초량로13번길 76 (초량동),
숙박업(일반),삼성장여관,부산광역시 동구 중앙대로 477-3 (범일동), 051- 646-8424
숙박업(일반),그린빌,부산광역시 동구 조방로49번길 27-7 (범일동), 051- 646-6476
숙박업(일반),초량머뭄,부산광역시 동구 초량로14번길 7 (초량동),
숙박업(일반),현대,부산광역시 동구 범일일길 26 (범일동), 051- 632-1243
숙박업(일반),만복여관,부산광역시 동구 초량로14번길 14 (초량동), 051- 441-0010
숙박업(일반),호텔그레이,"부산광역시 동구 중앙대로286번길 3-2 (초량동,1162-10)", 051- 463-5239
숙박업(일반),K7 모텔,부산광역시 동구 조방로49번길 23-6 (범일동), 051- 632-3068
숙박업(일반),태림하우스,부산광역시 동구 초량중로 21 (초량동), 051- 466-6883
숙박업(일반),동일장모텔,부산광역시 동구 중앙대로195번길 30 (초량동), 051- 467-8687
숙박업(일반),제이스테이,부산광역시 동구 범곡로28번길 7 (범일동),
숙박업(일반),씨엔씨,부산광역시 동구 대영로239번길 19 (초량동), 051- 467-5155
숙박업(일반),동해장,부산광역시 동구 초량로 15-12 (초량동), 051- 468-9434
숙박업(일반),미진모텔,부산광역시 동구 조방로 35 (범일동), 051- 632-7070
숙박업(일반),수정여관,부산광역시 동구 고관로 71-1 (수정동),
숙박업(일반),더월드,부산광역시 동구 대영로247번길 7 (초량동), 051- 468-3113
숙박업(일반),청운모텔,부산광역시 동구 조방로 39-7 (범일동), 051- 632-3757
숙박업(일반),나우빌모텔,부산광역시 동구 고관로7번길 28-1 (초량동),051 -321 -1220
숙박업(일반),챌린지 호텔,부산광역시 동구 범일로102번길 16-6 (범일동), 051- 636-0595
숙박업(일반),테레목 호스텔(TEREMOK),부산광역시 동구 중앙대로195번가길 12 (초량동),
숙박업(일반),자성마이홈,부산광역시 동구 자성로111번길 15 (범일동), 051- 642-0735
숙박업(일반),틴토호텔,부산광역시 동구 범일로102번길 16-18 (범일동),051 -634 -2088
숙박업(일반),황금장 여관,부산광역시 동구 대영로247번길 15 (초량동),051 - 468-1718
숙박업(일반),프라임관광호텔,부산광역시 동구 중앙대로 399 (수정동),051 -465 -4011
숙박업(일반),호텔코코(CoCo),부산광역시 동구 중앙대로196번길 12-4 (초량동),
숙박업(일반),대원모텔,부산광역시 동구 중앙대로195번가길 33 (초량동), 051- 442-5888
숙박업(일반),수채화모텔,부산광역시 동구 범일로102번길 20-4 (범일동), 051- 633-5186
숙박업(일반),새여관,부산광역시 동구 중앙대로 243-10 (초량동), 051- 468-7764
숙박업(일반),보건여관,부산광역시 동구 고관로63번길 22 (수정동), 051- 468-9190
숙박업(일반),센스빌모텔,부산광역시 동구 조방로38번길 11 (범일동), 051- 643-0004
숙박업(일반),링크호텔,부산광역시 동구 초량로13번길 79 (초량동), 051- 467-3195
숙박업(일반),탑모텔,부산광역시 동구 중앙대로196번길 12-15 (초량동),051 - 462-3755
숙박업(일반),나포리,부산광역시 동구 조방로49번길 27-3 (범일동),051 - 643-3636
숙박업(일반),라메르관광호텔,부산광역시 동구 조방로34번길 9 (범일동), 051- 634-3001
숙박업(일반),알프스모텔,부산광역시 동구 대영로243번길 74 (초량동), 051- 468-5577
숙박업(일반),부산인모텔,부산광역시 동구 중앙대로214번길 7-7 (초량동),
숙박업(일반),천지장여관,부산광역시 동구 범일일길25번길 4 (범일동), 051- 634-8855
숙박업(일반),더웨이호텔,부산광역시 동구 중앙대로209번길 12 (초량동),051 -852 -3600
숙박업(일반),더 비에스호텔(THE BS HOTEL),부산광역시 동구 중앙대로236번길 7-11 (초량동),051 -466 -8400
숙박업(일반),OJ(오제이)모텔,부산광역시 동구 중앙대로308번길 7 (초량동), 051- 469-4274
숙박업(일반),스토리 하우스,부산광역시 동구 조방로49번길 27-5 (범일동), 051- 642-0707
숙박업(일반),광장호텔,부산광역시 동구 중앙대로214번길 7 (초량동), 051- 464-3141
숙박업(일반),리치모텔,부산광역시 동구 조방로49번길 23-10 (범일동), 051- 643-2710
숙박업(일반),코인모텔,부산광역시 동구 중앙대로196번길 12-11 (초량동),051 - 464-2531
숙박업(일반),대성그린빌,부산광역시 동구 자성로103번길 18 (범일동),
숙박업(일반),부산역 탑모텔,부산광역시 동구 중앙대로196번길 12-13 (초량동),051 - 464-3608
숙박업(일반),모나코모텔,부산광역시 동구 중앙대로180번길 12-5 (초량동), 051- 463-6265
숙박업(일반),코리아시티호텔,부산광역시 동구 조방로 10 (범일동), 051- 643-7788
숙박업(일반),엔젤여관,부산광역시 동구 범곡로28번길 21 (범일동), 051- 632-8571
숙박업(일반),목화모텔,"부산광역시 동구 중앙대로231번길 27 (초량동,308-1)", 051- 464-9211
숙박업(일반),보라여관,부산광역시 동구 중앙대로231번길 7 (초량동), 051- 464-5656
숙박업(일반),프린스 모텔,부산광역시 동구 중앙대로229번길 19 (초량동), 051- 464-9141
숙박업(일반),산수장모텔,부산광역시 동구 부산진성공원로3번길 11-4 (범일동), 051- 645-0820
숙박업(일반),무진장,부산광역시 동구 초량로 15-11 (초량동), 051- 468-5557
숙박업(일반),허브모텔,부산광역시 동구 범일로89번길 26 (범일동), 051- 647-0026
