업종명,업소명,영업소 주소(도로명),우편번호,소재지전화,객실수
숙박업(일반),선샤인 하우스,부산광역시 남구 전포대로 106-2 (문현동),48411,051-633-9297,9
숙박업(일반),범일 여인숙,부산광역시 남구 남동천로 56-6 (문현동),48402,051-633-7174,15
숙박업(일반),남일 여인숙,부산광역시 남구 못골로 92-1 (대연동),48445,051-627-1144,14
숙박업(일반),문현 모텔,부산광역시 남구 지게골로10번길 5 (문현동),48476,051-646-1745,10
숙박업(일반),루이모텔,"부산광역시 남구 유엔평화로4번길 74, 모텔루이 (대연동)",48492,051-634-0011,14
숙박업(일반),성운장,부산광역시 남구 용호로 202 (용호동),48568,051-622-6688,19
숙박업(일반),은하모텔,부산광역시 남구 용호로 98 (용호동),48523,051-623-9663,19
숙박업(일반),오륙도여관,부산광역시 남구 신선로319번길 5 (용당동),48548,051-626-4276,9
숙박업(일반),낙원모텔,부산광역시 남구 수영로219번길 12-4 (대연동),48445,051-626-8440,18
숙박업(일반),산해모텔,부산광역시 남구 수영로13번길 6-5 (문현동),48415,051-636-8008,22
숙박업(일반),용궁모텔,부산광역시 남구 유엔로 140 (대연동),48485,051-626-3238,16
숙박업(일반),문화장 여관,부산광역시 남구 8부두로 7 (감만동),48556,051-635-4256,12
숙박업(일반),황금모텔,부산광역시 남구 수영로220번길 8 (대연동),48492,051-621-6184,20
숙박업(일반),서울모텔,부산광역시 남구 용호로 129-6 (용호동),48579,051-626-4415,10
숙박업(일반),가든장여관,부산광역시 남구 용호로 208-1 (용호동),48568,051-624-5966,13
숙박업(일반),클라우드나인(CLOUD9),부산광역시 남구 수영로13번길 18 (문현동),48415,070-8677-2498,20
숙박업(일반),코리아 호텔,부산광역시 남구 유엔평화로 25 (대연동),48504,051-628-7001,45
숙박업(일반),대화장 여관,부산광역시 남구 신선로301번길 26 (용당동),48548,051-626-4451,14
숙박업(일반),용당장 여관,부산광역시 남구 신선로319번길 37 (용당동),48548,051-626-0106,15
숙박업(일반),대연 비지니스 호텔 더 그랑(DAEYEON BUSINESS HOTEL THE GRANG),부산광역시 남구 유엔평화로3번길 33 (대연동),48496,051-611-0707,23
숙박업(일반),모텔 꿈,부산광역시 남구 유엔평화로3번길 35 (대연동),48496,051-628-8069,22
숙박업(일반),낙원모텔,부산광역시 남구 수영로13번길 6-17 (문현동),48415,051-643-7414,26
숙박업(일반),UV모텔,부산광역시 남구 유엔평화로4번길 6 (대연동),48492,051-623-3491,19
숙박업(일반),제트(Z),부산광역시 남구 유엔평화로4번길 14 (대연동),48492,051-628-5419,21
숙박업(일반),케이(K)모텔,부산광역시 남구 유엔평화로4번길 10 (대연동),48492,051-626-2300,32
숙박업(일반),그랜드 모텔,부산광역시 남구 수영로13번길 6-11 (문현동),48415,051-644-8480,25
숙박업(일반),리베모텔,부산광역시 남구 못골로 90 (대연동),48445,051-611-6097,22
숙박업(일반),블루 여관,부산광역시 남구 수영로13번길 11 (문현동),48415,051-633-3417,28
숙박업(일반),웰킨호텔,부산광역시 남구 유엔평화로4번길 30 (대연동),48492,051-627-7451,42
숙박업(일반),호텔 위드,부산광역시 남구 유엔평화로4번길 12 (대연동),48492,051-626-8400,40
숙박업(일반),호텔스미스(SMITH),부산광역시 남구 못골로12번길 20 (대연동),48453,051-642-2923,32
숙박업(일반),뮤트호텔,부산광역시 남구 수영로220번길 7 (대연동),48492,051-625-5464,49
숙박업(일반),T 호텔,부산광역시 남구 남동천로 6 (문현동),48402,051-637-6819,28
숙박업(일반),보스코 호텔,부산광역시 남구 못골로12번길 64 (대연동),48445,051-643-0440,29
숙박업(일반),호텔브라운도트대연,부산광역시 남구 수영로208번길 8 (대연동),48492,051-623-1624,36
숙박업(일반),아젤리아,부산광역시 남구 유엔평화로4번길 54 (대연동),48492,051-611-6882,23
숙박업(일반),호텔뮤리,부산광역시 남구 수영로219번길 12-8 (대연동),48445,051-612-8314,51
숙박업(일반),브이모텔,부산광역시 남구 못골로12번길 46 (대연동),48453,051-637-7775,34
숙박업(일반),시그니처 덴바스타호텔(문현점),부산광역시 남구 전포대로 5 (문현동),48402,051-645-0068,40
숙박업(일반),노블레스,부산광역시 남구 용호로 158-1 (용호동),48567,051-611-6025,35
숙박업(일반),보나 쓰리 호텔,부산광역시 남구 용호로 152-1 (용호동),48567,051-622-7025,35
숙박업(일반),정성호텔,부산광역시 남구 수영로13번길 9 (문현동),48415,051-634-0902,41
숙박업(일반),넘버25호텔,부산광역시 남구 용호로 156-1 (용호동),48567,051-627-4466,35
숙박업(일반),호텔 온나(ONNA),부산광역시 남구 유엔평화로4번길 5 (대연동),48493,051-623-7995,38
숙박업(일반),버킹엄 모텔,부산광역시 남구 용호로 170 (용호동),48567,051-622-6466,30
숙박업(일반),브이모텔,부산광역시 남구 자유평화로60번길 85 (문현동),48402,051-645-0154,27
숙박업(일반),시카고모텔,부산광역시 남구 동명로132번길 21 (용호동),48567,051-621-0002,38
숙박업(일반),보브호텔,부산광역시 남구 자유평화로60번길 90 (문현동),48402,051-633-0131,36
숙박업(일반),르이데아호텔,부산광역시 남구 유엔평화로 35 (대연동),48505,051-611-6643,52
숙박업(일반),하운대 대연점,부산광역시 남구 유엔평화로4번길 34 (대연동),48492,051-626-7723,41
숙박업(일반),아바니 센트럴 부산,"부산광역시 남구 전포대로 133, 1,3,5,19~35,37층 (문현동)",48400,051-791-5800,281
숙박업(생활),우성빌,부산광역시 남구 못골로 94-1 (대연동),48445,051-627-1144,9
숙박업(생활),장미하우스,부산광역시 남구 수영로250번길 11-5 (대연동),48497,,16
