업종명,업소명,영업소 주소(도로명),영업소 주소(지번),소재지전화
숙박업(일반),역전,부산광역시 북구 낙동대로1704번길 10 (구포동),부산광역시 북구 구포동 1060-55 ,051-336-2988
숙박업(일반),보림,부산광역시 북구 구포만세길 6 (구포동),부산광역시 북구 구포동 1069-2 ,051-332-1535
숙박업(일반),산해,부산광역시 북구 구포만세길 36-19 (구포동),부산광역시 북구 구포동 1060-254 ,051-331-4488
숙박업(일반),밀양,부산광역시 북구 낙동대로1694번가길 6-1 (구포동),부산광역시 북구 구포동 1060-279 ,051-332-3482
숙박업(일반),청포별장,부산광역시 북구 가람로 6-1 (구포동),부산광역시 북구 구포동 1054-10 ,051-334-5726
숙박업(일반),동원,부산광역시 북구 낙동대로1694번나길 38 (구포동),부산광역시 북구 구포동 1060-78 ,051-338-7804
숙박업(일반),명성,부산광역시 북구 구포만세길 33 (구포동),부산광역시 북구 구포동 1060-375 T통B반 ,051-332-6846
숙박업(일반),유선게스트하우스,부산광역시 북구 낙동대로1582번길 5 (구포동),부산광역시 북구 구포동 1120-6 ,
숙박업(일반),한일,부산광역시 북구 구포시장길 20 (구포동),부산광역시 북구 구포동 589-23 T통B반 ,051-332-6628
숙박업(일반),호림장,부산광역시 북구 만덕대로 46-2 (덕천동),부산광역시 북구 덕천동 384-5 ,051-332-0495
숙박업(일반),브이세븐(V7),부산광역시 북구 낙동대로 1666 (구포동),부산광역시 북구 구포동 1067-12 ,051-335-9991
숙박업(일반),서울,부산광역시 북구 낙동대로 1660-1 (구포동),부산광역시 북구 구포동 1068-11 ,051-332-4640
숙박업(일반),국보장,부산광역시 북구 낙동대로 1780 (구포동),부산광역시 북구 구포동 145-1 ,051-332-6685
숙박업(일반),삼오,부산광역시 북구 낙동대로 1746-10 (구포동),부산광역시 북구 구포동 371-6 ,051-336-3279
숙박업(일반),경수장여관,부산광역시 북구 낙동대로1780번길 14 (구포동),부산광역시 북구 구포동 145-4 T통B반 ,051-332-7479
숙박업(일반),태흥장,부산광역시 북구 낙동북로647번길 10 (구포동),부산광역시 북구 구포동 1050-1 T통B반 ,051-333-4958
숙박업(일반),1박2일,부산광역시 북구 금곡대로7번길 19 (덕천동),부산광역시 북구 덕천동 353-1 ,051-333-5132
숙박업(일반),아림장,부산광역시 북구 약초골목길 23 (구포동),부산광역시 북구 구포동 589-34 ,051-343-8394
숙박업(일반),노블레스,부산광역시 북구 가람로 4 (구포동),부산광역시 북구 구포동 1053-7 ,051-335-3338
숙박업(일반),샤롯데모텔,부산광역시 북구 가람로8번길 8 (구포동),부산광역시 북구 구포동 1054-5 ,051-335-6605
숙박업(일반),녹천장,부산광역시 북구 가람로52번길 4 (구포동),부산광역시 북구 구포동 413-29 T통B반 ,051-334-8377
숙박업(일반),향원장,부산광역시 북구 구포만세길 91 (구포동),부산광역시 북구 구포동 1060-351 T통B반 ,051-341-3130
숙박업(일반),모텔힐링,부산광역시 북구 금곡대로8번길 15 (덕천동),부산광역시 북구 덕천동 396-10 T통B반 ,
숙박업(일반),테크노모텔,부산광역시 북구 가람로 56 (구포동),부산광역시 북구 구포동 410-1 ,051-335-9838
숙박업(일반),상록장,부산광역시 북구 시장갓길 46 (구포동),부산광역시 북구 구포동 614-24 ,051-336-2997
숙박업(일반),대업장,부산광역시 북구 낙동대로1694번나길 33 (구포동),부산광역시 북구 구포동 253-10 ,051-335-6688
숙박업(일반),화목장여관,부산광역시 북구 낙동대로 1768-16 (구포동),부산광역시 북구 구포동 586-8 T통B반 ,051-337-6116
숙박업(일반),창성장,부산광역시 북구 낙동대로1694번가길 3 (구포동),부산광역시 북구 구포동 1060-269 ,051-338-8850
숙박업(일반),덕천에스(S)모텔,부산광역시 북구 덕천1길 81 (덕천동),부산광역시 북구 덕천동 384-29 T통B반 ,051-338-5050
숙박업(일반),백양장,부산광역시 북구 덕천로312번길 10 (만덕동),부산광역시 북구 만덕동 847-5 ,051-331-3227
숙박업(일반),보라장,부산광역시 북구 구포만세길 68 (구포동),부산광역시 북구 구포동 1060-431 432 ,051-336-8700
