업종명,업소명,영업소 주소(도로명),소재지전화
숙박업(일반),명지오션시티호텔,부산광역시 강서구 명지오션시티3로 37 (명지동),051-271-0023
숙박업(일반),비엠호텔,부산광역시 강서구 르노삼성대로 576-2 (명지동),051-271-1511
숙박업(일반),호텔 명지,"부산광역시 강서구 르노삼성대로 634, A동 (명지동)",051-271-3677
숙박업(일반),호텔프렌치코드,부산광역시 강서구 명지오션시티5로 8 (명지동),051-271-2563
숙박업(일반),호텔 제이드,부산광역시 강서구 르노삼성대로 600 (명지동),051-717-3872
숙박업(일반),김해공항 브라운도트 명지점,부산광역시 강서구 르노삼성대로 576-6 (명지동),051-271-3777
숙박업(일반),디자인팝호텔,부산광역시 강서구 르노삼성대로 576-4 (명지동),051-271-2001
숙박업(일반),사이버모텔,부산광역시 강서구 명지오션시티5로 18 (명지동),051-271-4411
숙박업(일반),마르,"부산광역시 강서구 르노삼성대로 634, B동 (명지동)",051-271-1907
숙박업(일반),더블유(W)모텔,부산광역시 강서구 르노삼성대로 598 (명지동),051-271-1119
숙박업(일반),브이호텔,부산광역시 강서구 신호산단2로27번길 33 (신호동),051-831-1105
숙박업(일반),이그니스호텔,부산광역시 강서구 신호산단2로27번길 21 (신호동),051-832-1117
숙박업(일반),호텔 더 메이,부산광역시 강서구 신호산단1로217번길 27 (신호동),051-831-2610
숙박업(일반),펀모텔,부산광역시 강서구 신호산단2로27번길 27 (신호동),051-974-0111
숙박업(일반),벨라지오호텔,부산광역시 강서구 신호산단1로217번길 7 (신호동),051-831-9170
숙박업(일반),씨사이드모텔,부산광역시 강서구 르노삼성대로 566 (명지동),051-271-3125
숙박업(일반),넘버25호텔 명지오션시티점 비즈니스,부산광역시 강서구 명지오션시티3로 41 (명지동),051-271-6566
숙박업(일반),오션뷰 제이케이호텔,부산광역시 강서구 르노삼성대로 590 (명지동),051-271-2237
숙박업(일반),헤리티지 디자인 호텔,부산광역시 강서구 르노삼성대로 592 (명지동),051-271-0467
숙박업(일반),IW모텔,부산광역시 강서구 신호산단1로217번길 19 (신호동),051-831-2460
숙박업(일반),2월호텔더스테이 강서신관,부산광역시 강서구 신호산단1로217번길 12 (신호동),051-832-2227
숙박업(일반),호텔에그,부산광역시 강서구 신호산단1로217번길 33 (신호동),051-831-9798
숙박업(일반),비즈니스호텔,부산광역시 강서구 신호산단2로27번길 41 (신호동),051-973-2373
숙박업(일반),2월호텔더스테이 강서본관,부산광역시 강서구 신호산단1로217번길 31 (신호동),051-972-2828
숙박업(일반),블랑비즈니스호텔,부산광역시 강서구 신호산단1로217번길 10 (신호동),051-973-8589
숙박업(일반),S호텔,부산광역시 강서구 신호산단1로217번길 37 (신호동),051-832-0128
숙박업(일반),에어포트호텔,부산광역시 강서구 유통단지1로65번길 15 (대저2동),051-831-0606
숙박업(일반),호텔더원,부산광역시 강서구 신호산단1로72번길 41 (신호동),051-831-5646
숙박업(일반),브라운도트 호텔,부산광역시 강서구 신호산단1로72번길 33 (신호동),051-714-2556
숙박업(일반),GOOD프라임호텔,"부산광역시 강서구 과학산단2로 12, 7,8층 (지사동)",051-832-6660
숙박업(일반),넘버25호텔,"부산광역시 강서구 명지국제2로28번길 7, 9층 (명지동)",051-202-7889
숙박업(일반),베스티호텔,"부산광역시 강서구 미음산단로 17, 베스티호텔1 (구랑동)",051-710-9700
숙박업(일반),레전드호텔,부산광역시 강서구 미음산단5로 48 (미음동),051-941-8688
숙박업(일반),더포인트호텔,"부산광역시 강서구 명지국제2로28번길 8, 더프라임 10층 (명지동)",051-934-8600
숙박업(일반),호텔오유,"부산광역시 강서구 명지국제6로 21, 도형건설 10층 (명지동)",051-911-5566
숙박업(일반),더브레인호텔,부산광역시 강서구 신호산단1로72번길 58 (신호동),051-271-7000
숙박업(일반),B&G호텔,"부산광역시 강서구 명지국제6로1번길 24, 도하마린타워 7, 8, 9층 (명지동)",051-207-1201
숙박업(일반),씨엘오션호텔,부산광역시 강서구 명지국제6로34번길 22 (명지동),051-203-2576
숙박업(일반),베스트루이스해밀턴호텔,"부산광역시 강서구 범방3로29번길 6, 베스트 루이스 해밀턴호텔 범방점 (범방동)",051-660-6900
숙박업(일반),신라스테이 서부산,"부산광역시 강서구 명지국제7로 38, 신라스테이 서부산점 (명지동)",051-661-9000
숙박업(일반),더웨스턴부산,부산광역시 강서구 화전산단4로25번길 53 (화전동),051-832-1000
숙박업(일반),스카이호텔,부산광역시 강서구 신호산단1로217번길 15 (신호동),051-971-0071
숙박업(일반),에어스카이 관광호텔,"부산광역시 강서구 유통단지1로57번길 2, 에어스카이 관광호텔 (대저2동)",051-971-0093
숙박업(일반),헤르몬 호텔,"부산광역시 강서구 과학산단2로10번길 23, 헤르몬호텔 지하1~7층 (지사동)",051-972-0077
