업종명,업소명,영업소 주소(도로명),소재지전화
숙박업(일반),궁락모텔,부산광역시 연제구 중앙대로1120번길 17 (연산동), 051- 861-6727
숙박업(일반),제일여관,부산광역시 연제구 월드컵대로 217-1 (거제동), 051- 503-5639
숙박업(일반),대원장여관,부산광역시 연제구 거제천로230번길 98 (연산동), 051- 865-7560
숙박업(일반),에그(egg)모텔,부산광역시 연제구 고분로13번길 13 (연산동),051 -863 -9110
숙박업(일반),토곡,부산광역시 연제구 과정로 187-1 (연산동), 051- 759-2040
숙박업(일반),BNB(비앤비),부산광역시 연제구 월드컵대로114번길 15 (연산동), 051-866 -8277
숙박업(일반),샤이어호텔,부산광역시 연제구 반송로 18-6 (연산동), 051- 866-4645
숙박업(일반),더 제니스 호텔,부산광역시 연제구 거제천로152번길 66 (연산동),051 -868 -3335
숙박업(일반),호텔 로이,부산광역시 연제구 과정로191번길 41 (연산동),051 -761 -2377
숙박업(일반),다우모텔,부산광역시 연제구 중앙대로1120번길 7 (연산동),051 -862 -1822
숙박업(일반),부원장,부산광역시 연제구 월드컵대로165번길 15 (연산동), 051- 861-4038
숙박업(일반),잠자리모텔,부산광역시 연제구 월드컵대로120번길 18 (연산동), 051- 864-3511
숙박업(일반),호텔코지(HOTEL COZY),부산광역시 연제구 과정로191번길 53 (연산동), 051- 754-7757
숙박업(일반),발리호텔,부산광역시 연제구 반송로 32-8 (연산동), 051- 867-1371
숙박업(일반),굿타임 모텔,부산광역시 연제구 중앙대로1054번길 20 (연산동), 051- 866-2510
숙박업(일반),궁전모텔,부산광역시 연제구 고분로13번길 5-8 (연산동),051 -866 -3001
숙박업(일반),와이유(YU)모텔,"부산광역시 연제구 월드컵대로165번길 33 (연산동,,31)",051 -851 -1540
숙박업(일반),센트럴호텔,부산광역시 연제구 중앙대로 1122 (연산동), 051- 866-6225
숙박업(일반),투헤븐호텔,부산광역시 연제구 과정로191번길 25 (연산동), 051- 755-3542
숙박업(일반),산호장,부산광역시 연제구 과정로 335-1 (연산동), 051- 851-0005
숙박업(일반),휴모텔,부산광역시 연제구 반송로 13-1 (연산동),051 -852 -0630
숙박업(일반),썬비치,부산광역시 연제구 반송로 18-8 (연산동),   051- 861-5446
숙박업(일반),모모장여관,부산광역시 연제구 월드컵대로111번길 6-12 (연산동), 051- 867-3007
숙박업(일반),태화장,부산광역시 연제구 월드컵대로111번길 6-6 (연산동), 051- 852-7755
숙박업(일반),문화장,부산광역시 연제구 월드컵대로153번길 21 (연산동), 051- 863-6336
숙박업(일반),럭스,부산광역시 연제구 중앙대로1120번길 9 (연산동), 051- 862-0030
숙박업(일반),더블유모텔,부산광역시 연제구 중앙대로1120번길 13-4 (연산동), 051- 868-4333
숙박업(일반),웁스(OOPS),부산광역시 연제구 월드컵대로119번길 10 (연산동),051-866 -5402
숙박업(일반),아이엔 호텔,부산광역시 연제구 월드컵대로120번길 14 (연산동), 051- 864-0990
숙박업(일반),호텔 얌 연산점,부산광역시 연제구 중앙대로1124번길 26 (연산동),051-853 -8908
숙박업(일반),브라운도트호텔(연산점),부산광역시 연제구 월드컵대로99번길 30 (연산동), 051- 868-9151
숙박업(일반),엘루이,부산광역시 연제구 거제천로182번길 46-3 (연산동),051-714 -7276
숙박업(일반),호텔와바(WABA),부산광역시 연제구 거제천로230번길 88 (연산동), 051- 852-1717
숙박업(일반),유신모텔,부산광역시 연제구 중앙대로1120번길 21 (연산동), 051- 868-5537
숙박업(일반),위드모텔,부산광역시 연제구 거제천로182번길 54 (연산동), 051- 868-6644
숙박업(일반),HOTEL BROWN-DOT(호텔브라운돗),부산광역시 연제구 과정로191번길 47 (연산동), 051- 752-3312
숙박업(일반),퀸스모텔,부산광역시 연제구 반송로 28 (연산동),051 -861 -3440
숙박업(일반),넘버25호텔,부산광역시 연제구 거제천로154번길 30 (연산동), 051- 868-0727
숙박업(일반),호텔스미스 부산 시청점,부산광역시 연제구 거제천로154번길 35 (연산동), 051- 863-0413
숙박업(일반),하운드 호텔,부산광역시 연제구 월드컵대로153번길 9 (연산동),051 -866 -8226
숙박업(일반),그레이191 호텔,부산광역시 연제구 과정로191번길 57 (연산동), 051-758-8001
숙박업(일반),조이모텔,부산광역시 연제구 거제천로230번길 93 (연산동),051 -868 -1146
숙박업(일반),17th(티에이치)호텔,부산광역시 연제구 월드컵대로145번길 5 (연산동),051 -851 -5556
숙박업(일반),아이유모텔,부산광역시 연제구 월드컵대로99번길 31 (연산동),051 - 852-5165
숙박업(일반),스카이 ,부산광역시 연제구 고분로 7 (연산동),051 -866 -0782
숙박업(일반),노블모텔,부산광역시 연제구 고분로 7-1 (연산동),051 -851 -6590
숙박업(일반),파라다이스모텔,부산광역시 연제구 월드컵대로 148 (연산동), 051- 852-0323
숙박업(일반),호텔오마이,부산광역시 연제구 과정로191번길 59 (연산동), 051- 751-5800
숙박업(일반),에이치모먼트호텔(H.moment Hotel) 연산점,부산광역시 연제구 거제천로154번길 36 (연산동),051 -851 -8500
숙박업(일반),브이호텔,부산광역시 연제구 거제천로152번길 53 (연산동),051 -864 -6123
숙박업(일반),호텔더루아,부산광역시 연제구 월드컵대로111번길 6-10 (연산동), 051- 865-5399
숙박업(일반),아르반시티호텔,"부산광역시 연제구 반송로 20, 동주빌딩 (연산동)", 051- 851-9949
숙박업(일반),토마토,부산광역시 연제구 월드컵대로 146 (연산동),051 -864 -2790
숙박업(일반),호텔라인,부산광역시 연제구 거제천로152번길 55 (연산동),051 -863 -9992
숙박업(일반),아바모텔,부산광역시 연제구 거제천로152번길 56 (연산동),051 -868 -7432
숙박업(일반),호텔MU,부산광역시 연제구 중앙대로1120번길 25 (연산동),051 -852 -8822
숙박업(일반),시애틀비호텔,"부산광역시 연제구 거제천로154번길 42, 시애틀비 호텔 1~10층 (연산동)",051 -852 -7685
숙박업(일반),더킹호텔,"부산광역시 연제구 과정로 161, 2~10층 (연산동)",051 -752 -1999
숙박업(일반),부산시티호텔,"부산광역시 연제구 신촌로 19, 4~13층 (연산동)", 051- 851-1122
숙박업(생활),원하우스,부산광역시 연제구 월드컵대로120번길 5 (연산동), 051- 852-6032
숙박업(생활),신성하우스,"부산광역시 연제구 과정로132번길 5, 2~4층 (연산동)", 051- 758-9318
숙박업(생활),아르빌,부산광역시 연제구 거제천로230번길 96 (연산동), 051- 852-8769
숙박업(생활),앙소르 홈텔,부산광역시 연제구 중앙대로1124번길 24 (연산동), 051- 852-8792
숙박업(생활),피아노 홈텔,부산광역시 연제구 중앙대로1124번길 30 (연산동),
숙박업(생활),포시즌,"부산광역시 연제구 월드컵대로 152, CMC빌딩 3,4,8~15층 (연산동)",051 -852 -3654
숙박업(생활),어반스테이 부산시청,"부산광역시 연제구 중앙대로 1116-8, 2~23층 일부호 (연산동)",
숙박업(생활),어반스테이더시티연산 코지하우스,"부산광역시 연제구 중앙대로 1116-8, 2,4~10,12,13,15,20~23층 일부호 (연산동)",
숙박업(생활),(주)제이디하우스,"부산광역시 연제구 중앙대로 1116-8, 2~23층 일부호 (연산동)",
